date,exchange_rate
2011-03-11,0.93
2011-03-14,0.9
2011-03-17,0.87
2011-03-20,0.79
2011-03-23,0.86
2011-03-26,0.9
2011-03-30,0.8
2011-04-02,0.8
2011-04-05,0.77
2011-04-08,0.78
2011-04-11,0.76
2011-04-14,0.99
2011-04-17,1.09
2011-04-20,1.19
2011-04-23,1.38
2011-04-26,1.71
2011-04-29,2.66
2011-05-02,3.95
2011-05-05,3.56
2011-05-08,3.75
2011-05-11,5.41
2011-05-14,8.56
2011-05-17,8.47
2011-05-20,7.28
2011-05-23,6.81
2011-05-26,7.95
2011-05-29,8.68
2011-06-01,9.47
2011-06-04,15.05
2011-06-07,19.19
2011-06-10,32.34
2011-06-13,24.87
2011-06-16,19.99
2011-06-19,17.6
2011-06-22,15.39
2011-06-25,16.95
2011-06-28,17.89
2011-07-01,17.38
2011-07-04,15.74
2011-07-07,16.44
2011-07-10,15.16
2011-07-13,14.52
2011-07-16,14.25
2011-07-19,13.93
2011-07-22,13.94
2011-07-25,14.16
2011-07-28,14.1
2011-07-31,14.06
2011-08-03,13.37
2011-08-06,11.42
2011-08-09,9.66
2011-08-12,10.35
2011-08-15,11.4
2011-08-18,11.39
2011-08-21,11.75
2011-08-24,11.47
2011-08-27,10.01
2011-08-30,9.4
2011-09-02,8.46
2011-09-05,8.56
2011-09-08,7.53
2011-09-11,6.49
2011-09-14,6.19
2011-09-17,5.18
2011-09-20,5.89
2011-09-23,5.8
2011-09-26,5.49
2011-09-29,4.95
2011-10-02,5.27
2011-10-05,5.03
2011-10-08,4.79
2011-10-11,4.23
2011-10-14,4.37
2011-10-17,3.87
2011-10-20,2.59
2011-10-23,3.31
2011-10-26,3
2011-10-29,3.39
2011-10-31,3.38
2011-11-03,3.28
2011-11-06,3.04
2011-11-09,3.09
2011-11-12,3.11
2011-11-15,2.67
2011-11-18,2.37
2011-11-21,2.3
2011-11-24,2.48
2011-11-27,2.51
2011-11-30,3
2011-12-03,3.1
2011-12-06,3.06
2011-12-09,3.04
2011-12-12,3.33
2011-12-15,3.2
2011-12-18,3.36
2011-12-21,4.08
2011-12-24,4.06
2011-12-27,4.09
2011-12-30,4.47
2012-01-02,5.45
2012-01-05,6.6
2012-01-08,7.2
2012-01-11,7.1
2012-01-14,6.81
2012-01-17,6.97
2012-01-20,6.57
2012-01-23,6.47
2012-01-26,6.08
2012-01-29,5.72
2012-02-01,5.77
2012-02-04,5.99
2012-02-07,5.74
2012-02-10,5.94
2012-02-13,5.69
2012-02-16,4.74
2012-02-19,4.38
2012-02-22,4.63
2012-02-25,5.05
2012-02-28,4.98
2012-03-02,4.94
2012-03-05,5.04
2012-03-08,4.99
2012-03-11,4.98
2012-03-14,5.45
2012-03-17,5.4
2012-03-20,4.95
2012-03-23,4.81
2012-03-27,4.74
2012-03-30,4.85
2012-04-02,4.97
2012-04-05,4.96
2012-04-08,4.94
2012-04-11,4.9
2012-04-14,4.97
2012-04-17,4.99
2012-04-20,5.19
2012-04-23,5.3
2012-04-26,5.16
2012-04-29,5.09
2012-05-02,5.04
2012-05-05,5.15
2012-05-08,5.1
2012-05-11,5.1
2012-05-14,5.01
2012-05-17,5.1
2012-05-20,5.14
2012-05-23,5.13
2012-05-26,5.15
2012-05-29,5.16
2012-06-01,5.21
2012-06-04,5.27
2012-06-07,5.48
2012-06-10,5.68
2012-06-13,5.76
2012-06-16,6.27
2012-06-19,6.48
2012-06-22,6.8
2012-06-25,6.56
2012-06-28,6.58
2012-07-01,6.69
2012-07-04,6.71
2012-07-07,6.74
2012-07-10,6.98
2012-07-13,7.46
2012-07-16,7.8
2012-07-19,9.37
2012-07-22,9.53
2012-07-25,8.91
2012-07-28,8.95
2012-07-31,9.22
2012-08-03,10.12
2012-08-06,11.21
2012-08-09,11.35
2012-08-12,11.64
2012-08-15,12.3
2012-08-18,15.37
2012-08-21,10.45
2012-08-24,10.25
2012-08-27,10.99
2012-08-30,11.14
2012-09-02,10.36
2012-09-05,10.59
2012-09-08,11.27
2012-09-11,11.14
2012-09-14,11.48
2012-09-17,11.98
2012-09-20,12.63
2012-09-23,12.4
2012-09-26,12.24
2012-09-29,12.46
2012-10-02,12.58
2012-10-05,13.07
2012-10-08,12.58
2012-10-11,12.16
2012-10-14,12.1
2012-10-17,11.99
2012-10-20,11.94
2012-10-23,11.86
2012-10-26,11.56
2012-10-28,10.69
2012-10-31,11.17
2012-11-03,10.62
2012-11-06,10.97
2012-11-09,11.04
2012-11-12,11.17
2012-11-15,11.28
2012-11-18,11.82
2012-11-21,11.9
2012-11-24,12.46
2012-11-27,12.5
2012-11-30,12.66
2012-12-03,12.75
2012-12-06,13.69
2012-12-09,13.53
2012-12-12,13.8
2012-12-15,13.75
2012-12-18,13.4
2012-12-21,13.63
2012-12-24,13.45
2012-12-27,13.51
2012-12-30,13.57
2013-01-02,13.42
2013-01-05,13.54
2013-01-08,13.84
2013-01-11,14.31
2013-01-14,14.34
2013-01-17,15.53
2013-01-20,16.15
2013-01-23,17.97
2013-01-26,17.71
2013-01-29,19.78
2013-02-01,21.25
2013-02-04,20.99
2013-02-07,22.15
2013-02-10,23.97
2013-02-13,24.3
2013-02-16,27.39
2013-02-19,29.48
2013-02-22,30.52
2013-02-25,30.4
2013-02-28,33.36
2013-03-03,34.25
2013-03-06,42
2013-03-09,46.93
2013-03-12,44.32
2013-03-15,46.9
2013-03-18,52.12
2013-03-21,70.25
2013-03-24,71.93
2013-03-27,88.8
2013-03-30,92.5
2013-04-03,117.34
2013-04-06,142.1
2013-04-09,186.96
2013-04-12,124.9
2013-04-15,100
2013-04-18,93.9
2013-04-21,127.5
2013-04-24,142.5
2013-04-27,137
2013-04-30,144.54
2013-05-03,103.3
2013-05-06,115.98
2013-05-09,113.35
2013-05-12,115.68
2013-05-15,112
2013-05-18,123.32
2013-05-21,122.02
2013-05-24,126.7
2013-05-27,133.5
2013-05-30,132.3
2013-06-02,129.3
2013-06-05,121.42
2013-06-08,111.5
2013-06-11,106.1
2013-06-14,103.9
2013-06-17,99.9
2013-06-20,107.68
2013-06-23,108.35
2013-06-26,103.89
2013-06-29,94.65
2013-07-02,87
2013-07-05,80.04
2013-07-08,75
2013-07-11,87.9
2013-07-14,98
2013-07-17,97.05
2013-07-20,92
2013-07-23,91.99
2013-07-26,97
2013-07-29,98.7
2013-08-01,106.2
2013-08-04,104.95
2013-08-07,106.56
2013-08-10,102.8
2013-08-13,106.64
2013-08-16,98.08
2013-08-19,99.3
2013-08-22,110.43
2013-08-25,109.04
2013-08-28,117.72
2013-08-31,124.84
2013-09-03,130.09
2013-09-06,122.63
2013-09-09,118.18
2013-09-12,126.54
2013-09-15,124.05
